label,text
0,good afternoon ladies and gents..... let my day begin (i sleep in too much) 
1,@JfB57 right now I'm watching how I can consolidate my debt into one by a smiling person 
0,"@shelby53094 Yeah, we've got a lot of lightning right now! -_- I think I'm gonna hav to turn the computer off soon too!  (haha! Sry!....."
1,"My hands are swollen, very weird. I don't understand why they have counted our ballots yet, they've had 3 days!  #eu09"
0,@livelikelivdee awww your prom dress 
1,@kaisermommy http://www.dafont.com/starstruck.font this font 
0,essendon lost  jeex why dont u learn to kick straight bombers....ohh well at least our coach isnt terry wallace
0,"@ddlovato go fangirl over guys your age, please and thank you, we DO NOT appreciate it "
0,"45688 I know I should break it off because you will always love him more than me, but I can't because of how much I love you "
1,"@DennisCalero That was about the direct # question, BTW. "
1,"Sunny day,perfect for swimming pool "
1,@YossiBelkin haha. bet you wont do that again 
1,We're &quot;re-hearing&quot; our songs!  haha translated: &quot;listening to!&quot;  haha  
1,@christineoh haha i approve your listening choice. tell those boys i said yo and to behave 
0,i got colds. 
0,sadface I'm not at E3-- but at least everybody in my Twitter feed is going to tell me all about it in terrible detail 
0,@fairls ugghh..everything that can go wrong goes wrong in this country...I haven't been paid 
1,@lwarren17 Thanks! I hope so too 
1,up early to finish rescue course 
1,Eating Honey Bunches of Oats Just Bunches. Yumm 
1,went to chris &amp; beffnii's house after school today  but chris man-handled me D:
0,"@bobbinrob Oh noes. Slow internet FTL.  *pets* *shares some of hers* Btw, I got Glee in the mail today! YAYYYY! TY BB. &lt;3"
1,"@jimmietryon My 62-yo neighbor uses Linux for simple printing, email, web. No CLI needed. I use the CLI 4 shortcuts, mostly. "
0,"awwww didnt sleep in the plane, now i'm all tired "
1,guess I like #blip more 
1,@mikasounds thanx for taking so much time to talk to everbody &amp; signing my iPhone. Pls say Dan thanx for the pic  http://yfrog.com/2sjqaj
0,@Michael_Maurice Oh same here. Miss the good ol' times of Lawrence and Ashley musically together. 
0,"just seen the price of JonasBrothers tickets, cant afford that at all  im only a student! "
1,Great Dayy  .. Awl Summeryy Tdayy  .. Dress Nd Sunnys  .. x&lt;3
1,"Gone to pack my stuff for the rest of the werrk, living with my best friend "
0,isPlayer Has Died! Sorry 
1,@ShalaMae Hahaha night. If you need me text me. 
1,"Writing Android code on a Eee 900 works surprisingly well... if you use a device. It, uh, doesn't handle the emulator well. "
0,my tweetdeck doesn't work!! 
0,@BL3SS wait...no for what? No you don't wanna screw rj...or no I can't screw Taylor? 
1,"@kilamarie  bro hopefully will be fine, it's weird to be so far away when someone is not well!"
0,I am sitting on my sofa starving  watching some boring cooking thing on tele and setting up my twitter page
1,"back to work, busy bee "
0,"@MrsDazzle: really? damn, hope he's not too badly hurt  I should check out ONTD more often."
0,Hey @otepofficial I can't hear anything   (otep-official live &gt; http://ustre.am/CyJ)
0,exam not too bad today just have to revise the hell out of physics for friday aka: my birthday 
1,"@matthewkempster I know, AOL suck. Their software sucks and the connection is &quot;jittery&quot; "
0,@ddlovato being sick sucks so much. i was gonna see &quot;up&quot; tonight but now i don't know if i can  bleh. good luck tomorrow!
1,"@heathsharp Because he is very veryy attractive, whitty, very very attractive, and has a big ginger thing to play with "
1,"My video got approved by expo, wooh yeah, now to record loads more "
0,@HeartBreakV Ha ha!!! Sorry poo  Did you go replace your screen yet?
0,Crap! I just realized that Father's Day is 2 DAYS AWAY and I still haven't bought a gift. 
0,urgh looks like another hot day tomorrow 
0,NADAL  FUCKING OWN THIS BASTARD ! ! !
1,@wayway8 @winningedge @marge_inovera @winningedge tks for the rt's  
0,it is 7:47 and it is ****ing cold time for school grate 
1,one of my new favorite songs:  &quot;I Know You're There&quot; by Matthew West.   SOOOOOOOOO COOL!    www.myspace.com/matthewwest.  check it out.
0,"@lordlamington LOL.  ... and how she updated her pic.  Not to anything better, I must sadly point out.  "
0,Knights Lost? What a bad week for me &amp; the League  first NSW now Newcastle. Last hope is Dragons 2moro night!
1,@captainblubear yeaa its fabulous isn't it? Glad you had a good time! 
1,It's official. I converted. Buddhism here I come. So far I think Theravada is amazing. Vajray?na has been enlightening as well. 
1,Wonderful company and beautiful sights! Yahoo! 
0,@beyoncatweets How awesome? Lol... I guess they were good but it could still be better 
1,"Ate @ Ringside Lounge right across from our hotel. Food was alot n good! They serve 32 oz (0,9l) mix drinks for 11 dollars. Crazy stuff "
0,"@hollyknowsbest LMAO nope! i'm on a healthy diet, even though my mmum made spag bol for dinner at like 1 earlier  i couldnt resist it!"
1,I literally in holiday mood already 
0,My head isn't healing well it feels that way 
1,"Today JB 3D Concert Experience movie with @Fernandaz, @marianoel1, @mariaeugenia_z &amp; Johi "
1,"back from meeting where no one showed up, lol... crazy, niggas dont take gettin money seriously...aboutta roll something up "
0,Dad having fever again.. Not looking too good 
1,is cooking all by herself for her sister. 
1,"Dear God.  Please make it rain tomorrow.  Thunderstorms would also be appreciated if possible, but they're not essential. Thank you "
1,"@Hybrid911 ouchies! i never liked suncream...i gave up using it a while ago, haha  hope ur sunburn gets better soon."
0,Got fried today at the swapmeet 
0,I'm sad to miss Baccalaureate Mass today 
0,http://twitpic.com/69m37 Come home soon my twin 
1,@LindzNicole so let's make it right! 
1,"beautiful day  I like that! Jump trampoline and listen to music loud, can it get better?"
0,Feeling really bad for the Penguins tonight  
1,@ELBfoto Congrats on the anniversary! A dozen years is a lot. I applaud your attention span 
1,@YoungQ Hey! That's craziness! Always something going on when you're on tour! 
1,@LittlePinkStone I'm not either. We should have went out *snicker* Although I am enjoying listening to RR and my beer 
1,"@geekrebel http://twitpic.com/7j5mc - He looks different from yesterday, sure you got the right baby  love the name!"
0,I guess alls well that ends well...I'm still single for the record lol. Leaving Cleveland will be bittersweet to 
1,"Good Morning/Good Night! Zzzzzzzzzz, lol! Leh sum2 else wake me! "
0,"I feel guilty, cause i stole something today..not really stole just borrowed without consent "
0,@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?
0,Wow...just got done watching making te band...very dramatic! I did shed a tear 
1,"finished filming! such a fun weekend, I'm on such a high! "
0,Why is my programming teacher teaching us about mortgages? 
0,i still look like quasi modo 
0,WTF?! no pounds lost since I stopped the lemon diet!!!!  sux....
1,"Yeah, face = sorta warm. Haha. I've missed home. "
1,I'm in SAT math class...omgee this is soooo boring!! I wanna sleep uhg! I'm singing usher in my head 
1,@danielr23 what song that's most playing in your ipod? Do you have a plan or a dream to have a band n have a career in music?? 
0,@JessKeir Ah I have to study hun and feel so bored to do so too meh 
0,So...My having learned of the existence of @DearRobot has really changed the way I tweet. I think this makes me an even bigger toolbox. 
1,@jennsbookshelf that'd be so sweet of you  Did find a $99 (after fees) from Bos to BWI...this is really looking possible.
1,"@RobertHolik im looking forward to our future chats too, i actually talk with all of my followers, so feel free to connect "
1,@BT http://blip.fm/~7mftj via LOL Reminded of this song. 
0,"@vickixashton i have.. 19 days left, and.. I Have 10 exams left! "
0,@HelloEli exacly 
0,with cancer. so sad!  feel bad for the parents of these children! tragedys are as they say tragic!
1,Hot day with cool people! 
0,Last night of band camp 
1,@veganedge Nice pic .. my mate ! 
1,@scynet thanks for the rt mentioning @galtime 
0,no updates 
1,@frans_s Wow 
0,"@soaps3 Me too  I am a bad daughter, no church going for me. I hope to sleep until noon again tomorrow, lol"
1,@pcfhjeff I just downloaded your EP and I really like it 
1,"owww, nosebleed. "
0,@ericajo42 @saynerd01 oh look! it's our new house in santa barbara! http://i41.tinypic.com/2hi2t4y.jpg  hahha i wish 
1,working on my todo list before I have to go to work at Aaron's Books - 5 boxes coming in??? Yikes. 
0,"is still on the job hunt, plus this heat, man my life is really at a stand still "
0,in my apt...work was crazy today 
1,@astridaml thanx. Ini makan lagi disiapin. Obviously for me maag causes brain drain also. 
0,just studing again... 
0,@mamakatslosinit aww that stinks 
0,I still need a date for May 1st!!!  X-Men Origins: Wolverine was supposed to go w/@hasanlc but he saw the premiere last month 
1,"@dannygokey you need an assistant to keep you on track! I'm very organized, so much that it's scary! Where do I apply? "
0,"Soo embarassed I didn't see the tweets I've been getting from kind followers.    I'll do better, I promise!!!"
0,My tummy hurts..  cant sleep &amp; i need someone to talk to...
0,@madaboutbooks Am reading WTLF at minute. Want to read Lost Riders but all 4 copies are out  Alice (am in english in library)
0,@AndreaGenevieve awww. She's not gone forever. 
0,Tomorrow darryn has a primary fun day   she begged me to stay home so I could watch her...but I can't 
1,@littlesunflower happy bday have a good day  x
1,If anyone is interested in stylish functional micro greenhouses / Slug annoyers I may do an instructable. 
0,can't find anything nice to wear to da beach 
0,Starting to look a little scary outside. 
1,@knitwits1 thank you for your comment hun 
0,"i am on sofa with a migraine, "
1,@heiditalbot Right I need to start a campaign then! Were not letting you off that easy 
0,"Have to get up early for school tomorrow   too tired.....but I know I'll be able to do it anyways, lol! ;)"
1,@pollypreggers  I'm likin it! 
0,wow i just watched the MTV movie awards on there website. poor Rob during the kiss i hope that was all intentional   
0,@aaroncorby altho i have been texting @5LiveF1 but havent heard mine 
1,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone 
1,"Yeah that is awesome, I can't wait.  @Irm2d2"
1,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on "
1,@cross_harps I didn't read the shoulder bit (so I can't know! haha) will start searching Viggo at toes and work my way up 
1,in the mean time....whoooosaaaa...enjoying the wheater 
1,@billpmay Yay for Ali  she's so smart that one! ;)
1,@Shatohin Ð? Ñ? ÑÐµÑÐµÐ· 10 ÑÐ°Ñ?Ð¾Ð² ÑÐ¾Ð»ÑÐºÐ¾ Ð·Ð°Ð¼ÐµÑÐ¸Ð» 
1,YAY! My temperature went down!  I can have dinner with the family tonight.
0,Fed up with all this rain..... 
1,@froovyjosie thank god for that haha 
1,Off to my first day of work 
1,watching 'so you think you can dance' 
0,I just coughed so much I puked. Ughh I feel so sick. 
1,At the theater w/ @stevewoolf about to see Drag Me To Hell. Looking forward to what is hopefully a good scare. 
0,I Am Bored My Bro And Sis Think Its Funny To Belly Flop Eachother Then Knock Over Everything UHHHH 
1,@SuperBadVixen Hey girl i was busy at work my bad....Is ya mouth wire-free now? 
1,"Awww.  Some ppl just aren't meant 2 be your friends in this life, and it's okay.  Life lessons b4 bed...nite.  "
0,@saudarilee It was a pleasure &quot;babysitting&quot; 2/3 of your triplets. I'm sorry abt what  happened to Jannah! I'm still feeling guilty abt it 
1,"@Trevorjpearson Wow, I guess you are cool afterall "
0,Reliving childhood memories with Legos. This could get expensive 
0,I need dinner but I'm still waiting for a fax from work.  Also I have no food. Attn! Need partner who cooks. I am inept. lol
1,@carbamazepine you can help with organization and design tips AND help make sure the game is perfect. 
1,@gfalcone601 I've seen up to episode 8 already... it's awesome!  x
0,i'm very boring and without friends Estoy muy aburrida y sin amigos 
1,reading a novel 
0,@arryanb yes i did and ma tummy hurt   thks boo.
0,home missing the baby  @ 192nd Ter &amp; 25th Ct http://loopt.us/T-bDSw.t
1,@mileycyrus hiii miley..   how do you do    ??     .
1,In shock bob? Yeeaaahh riight!;-) 
1,never knew places in england were this lovely 
0,is headed to bed... I so don't wanna get up in the morning. 
0,"RIP Gillybob and Frieda, you guys were good companions. No other fish would've understood me as well as you guys have. "
0,just woke up from an accidental sleep. 
0,no one cares about me in my family  it has taken three years for my mother to buy me some curtains
0,"@shiggser nah, back to work "
1,"Goin 4 a run!  love runnin at nite in the dark, except when there's people creepin! lol  hope your nights goin well &amp; ya sleep tight! "
0,Time to head out of the studio early today. We are still a bit hungover from last night. 
0,"Just to let you know: Forever, actually means forever. "
0,@3nang HAHAH cannot! My singing's like shit  &amp; YOU MADE THE 'HOW WELL DO YOU KNOW ME' QUIZ ALR? Me&amp;June wanted to make tgt with you tmr 
1,"i doing too many things at once, thats what im doing "
0,"@NinjaLikesCheez *tears* video games = death.  @damnELECTRIC if you send me the money, I so would, but i'm hella broke and up at 2:15am.  "
1,@thefabgiver you ready? 
1,@truthsabouttrav haha that rain forest one actually made me laugh out loud... bravo 
0,"@alexwakeling don't show off, i'm jealous "
1,@deanaontheradio yep you can do it! just stay focused! 
0,I dont feel good  and Theres noone else to keep an eye on my group im the only one
1,I just played sims with my friends  Sims is fun again! Cause their are no problems anymore
0,"demons! , i will stay in my house until wednesday! i don't want  I HATEEEE IT! Â¬Â¬"
0,Also - do the reactive lenses really not work in cars? 
0,Collecta.com: collecta maybe... I'd like to see finda  and displaya... not waita 
1,@moltke happy to have made you happy 
1,"&quot;Did you just kill a guy with an appetizer?&quot; &quot;I don't know, maybe.&quot; XD Tihi.  Leverage FOR THE WIN!"
0,@clicktokill That's kinda gay. I have a real nice pic of me now  /vainVAIN VAIINNNNNNN hahahaha
0,"@marieosmond You were up at 2 am too? Aw why  you must be so sleepy. I love you, very much - beyond words. See ya @ the signing, MY angel."
1,havent looked at this thing in a long time.takes time to log on. Need sleep or fruit drink. Cant wait for tonight 
1,"Just painted my nails and watched family guy with dad... going to sleep,  I'm tired  "
0,Nothing to do in Phuket..  I miss scuba diving...!! .. sooo much!
0,@bevysmith dying inside reading abt the fab nite i missed 
0,wants edward cullen  (the car)
0,@jellybear89 of course you should be ready. Problem is... I had a pack in my car for about 2 years.  Never got used. 
1,@zebs My pleasure.  Email me at gabe at rmbrME dot com and I'll shoot it along to you.  Always interested in connecting!
1,@zoovroo thats great hah!! Btw have fun at prom!!!! 
1,@thescramble can I be your friend? 
0,"@pumpupositive No prob on the sun...heading your way!!! BTW, A little restriction is exactly what I need...I have no self control lately! "
1,"@antoniothonis yes, apparently it's our party "
1,@DJMALIKSHABAZZ hey you!!! What's good with you??? Xxxooo 
0,Troubles with internet 
1,"@Joe_Constanty if you haven't left for SH yet, you should come out to Souk tonight: great hookah  (say no to drugs, kids)"
1,@bethyesterday I know the final project is amazing because you're amazing at what you do! Thank you so much! 
1,yay! finally my room is clean 
0,Crap Steve Jobs had a liver transplant???? Oh man thats not good  LOL
1,You up for it City? Can you defeat Utd at their ground and cause a dent in their title ambitions ... fingers crossed that you can and do 
1,"Mia's room is clean  Kitchen, living room and our room are done too. Sam's room is next &amp; then dusting &amp; vacumning &amp; should be all good"
1,"@CHRISDJMOYLES FATTY!!! you're back!! yay, we can argue again hopefully "
1,"@dshanley the tide was a bit high by the time I got the board. Still, I was able to catch some good ones though "
0,"I hate old RM cases, one just bit me "
0,I'm even more kawawa than before   Fuck my life. Seriously. Fuck it.
0,I suppose i should do some coursework.... 
0,@ work.   I'm bored to death
1,@Cathay_Pacific just wanted to say a big thank you for being such a great airline. As a travel writer things like this mean A LOT! 
1,...as smart as drug dealers who have been caught multiple time out there  as precious as the water park in palmdale during the summer...
1,@marcelgv39 okay. thanks. 
0,Doesn't like the Cheesecake Factory at all... And doesn't really get people's obsession with it.  blech.
1,Recording some songs....so fun 
1,Happy Mother's Day!!  xox
1,Watching SYTYCD. 
1,shopping online 
0,"missing my brother 2day it would be his 48thb-day luv u bro, miss u terribly  sad"
1,fabulous saturday night!!! how lucky am i...incredible weekend 
1,Im bed with jon 
0,"Sh t, I'm getting even more sad. I'm currently at the library and j think it'll be the last one tooooo "
1,@SleeplessNights that is cute... 
0,"Ugh, he hasn't updated in forever!!!  that sucks! I'm gonna e-mail him!"
0,MTV awards are not on in my area 
1,"Am sat on a hostel balcony over looking MACBA, realising the owners gave me the best spot in the house- I'm lit from my room behind me "
1,@ChristianaZhu just joined AIESEC 
1,when my dad's gone back to work then I'll go and do my room some more... until then I'm not budging from playing bouncing balls 
0,wow.... for reals.. 
1,@VeggieChefMayra I'm hoping you have some helpful tips to start the raw foods diet because I don't have ANY idea how to start lol Thanks 
1,"@ree_i No, but GOD I wanted to!!!! Collective Soul at Bayfest was AWESOME...I made hubby go into the mosh pitt with me!  We had a BLAST!"
1,"Hanging out with Beth, she's letting me try on her clothes! "
1,@allybaba555 You kidding? People at cons are amazing at Guitar Hero/Rock Band...I would get destroyed....but not too badly 
1,in hk now..the flight was ok...watched he's just not that into you...justin long 
0,"@xJuLondon tell me, please "
1,@itsKarenJ yo q de q' ? =D .. I HAVE 51 FOLLOWERÂ´S! MAKE FEEL AWESOME AND SO HAPPY! THEY RE THE BEST OF THE WORLD 
0,@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. 
1,@kaitybug117 bootcamp at corey beach? where's that and what's it all about? beach bootcamp is an amazing concept  
1,@Vanilla_B  way unprofessional i love it lol
1,just learn how to use twitter. I am new. 
1,@mfowmes Im exausted..was running in the Race For Life and ive been up since 6.15 so bit tired! Me quiet...thats a first?! lol 
0,"@ddlovato Wish i could , but im in england  xx"
1,watching Storm Stories; haha! 
1,@ChrisBrownGirl yea i am  x
1,"@earlybird44 no scarve, but a good excuse to go shopping this weekend for a new skirt "
1,@RetroRewind great show today 
0,"Got a chicken salad #chamlunch which is pretty tasty, but my wooden fork just snapped "
1,Aww the Ford Fiesta Movement site is up!!  SO COOL!   Check it! ----&gt; http://www.fiestamovement.com/drivers/view/22
1,writin a new song  Thank you Life for your inspiration
0,"morning, sun is actually shining today!! gtta go to the opticians later "
0,I WISH I WOULDNT GET SO DRUNK  LOL FUNNY THO 
0,@xgabypinkx my mates got one and sez its amazing..i just got a new vista and its crap..the wireless is useless 
0,STARVIN!! That free veggie burger 4 lunch aint do nuthin 4 me  .... Hmmm sonics wld b good tho..
0,@AlanReidHall no I don't use that appl! I looked at it and it sent off the tweet. Tried to delete but it won't go away 
1,@EmilieSamuelsen aww its the excitement of it all  not weird! lmaooooo i would take an umbrella (Y) unfortunatly its most likely haha! x
0,@TheRealJordin OOMG I READ THAT BOOK!! I CRYED  ITS REALLY SAD. BUT SHE HAD AA LOT OF STRENGHT
0,I don't want to go to school tomorrow.  What a tiring day! I enjoy twittering at my phone by the way.
1,@alyankovic thats a gay name. keep it how it is 
1,just got home from a beastie wedding reception. open bar. dj@roparrish on deck... intense. uploading pix. back to the H in tomorrow 
0,"So, I guess I'm not going to Colombia anymore.  Fucking sucks."
1,just joined checking it out 
1,Quite the day today.  Tiring Hectic but was overall fun  Nighty!
0,@Mnmissy just two and that was enough then they hooked up and almost forgot about me I wanted to play too 
1,yaay din dins ready 
1,Can't wait for &quot;New Moon&quot;. Hope's so good as Twilight. Welcomed all Twilight fans!!!!   &lt;33
0,Seems to have lost her profile pic 
0,"@rhandilynn I don't know you, but i know how that feels "
1,@xLiveForever il love your background  xx
1,likes Joanna Newsom in that mgmt's video. 
1,@ozdj I grew up not far from there. 
1,"@wolowizard I can help you with Portuguese, sir. "
0,Just finished a service call at a house infested with roaches! They were EVERYWHERE! People are just fucking nasty! My skin is crawling. 
0,"@MG62 Marcus, Its Raining, Again!  I hate The UK. Doing much tonightt?..."
0,Finally got round to listing my beloved 35mm SLR -&gt; http://cli.gs/71UX8E  Not sure if I'm happy about this...! 
1,"@BeckyBuckwild I try 2 change my pic once in a while just 2 switch it up  Hope it doesn't make me look insecure heh. Anyway, ur fabulous!"
0, i don't wanna be taken  (((((((((
1,@aniterzayan haha thaaaanks 
0,Italian Shaved on the mall is D-licious and all over me!!!  and my printer...  But it is D-Licious!
1,"@Cytherea_Squirt my screenname is ortonnextwwechamp...im me if u do, I'm watching some hardcore xxx! "
0,Late again. Seriously. Shoot me. 
0,come back home and tired  #fb
1,@OliviaVZ YAY!! You got a job! Congratulations! So happy for you 
0,"Tonight my world turned upside down...  But I am ok, and hopefully I will be back out there!"
1,@Wossy Apparantly u won't have westlife on ur show...tut tut! Get them on wen theyre bac frm ther break...high viewings guaranteed!  Xxx
1,@cel_xox watch them fall... To their knees... As I lay I think I'm flat lining... 
1,@cherngli Pudu Plaza? I had the BEST steamed fish at Kota Damansara bordering Sungai Buloh 
1,@joescanlon well if all goes well i'll be down about once a month to plenty of time for coffee then instead 
1,Been listening to Slim Shady since morning. _Relapse_ is wayyy gooder than _Encore_. 
0,@fabianv what kind of docs? and what are you using to write them? we're always behind on our docs 
0,@BrittGoosie aww -huggles- you are a bit of a klutz. Hope you aren't too damaged from the fall 
0,why did i wake up? its 2:40am and in  5hrs i take the 1st part of my  english regents....LOVELY 
1,@Tay i'm sorry just think it should be over soon! then you can pig out for a while. 
0,"my 5 year old, Ben, got stung by a bee for the first time today - i have NEVER heard anyone scream that loud "
0,"@bunnydozer i want a cupcake, all i have is knit ones "
0,@CoreDJDetroit y can't i open the file???? i was downloading it just now and now nothing??? 
1,Up way way way to early this am....thanks @shane_benson 
1,Ddrerwq sanakwa  c jim.  Ehtan says I love you daddy 
0,"Okay, mowing the lawn is officially LAME! It makes little pieces fly up and stab your legs! "
0,@bellametaphor  they fell off. sisqo's fan site is all janky now. they are supposed to have a reality show or something coming out
0,@jessemccartney wish i had the bills to see you this year  but i've been hearing nothing but good things about the performances!
1,"i have fallen in love... with jack in the box vanilla iced coffees, mmmmmm "
1,http://tr.im/nCwe the boston globe is awesome as usual 
0,"@relampag0 no, just till next monday "
0,"@keaFbaby wow Kea, you've done it AGAIN! I LOVE IT! In A Perfect World...it would have ended that way "
0,is in islamic- kill me now 
1,Sun is out here  @ http://is.gd/Lo0g
1,have a great weekend everyone 
0,"It's so noisy and street-lit outside, but i have to keep the window open or else i'll die "
0,"Im at my friends house in another city, studying for the Anatomy final tomorrow ! hope i can pass it ! its a lot of stuff to memories "
0,@beautyfulashley U said ok but you're not in my followers ! 
1,I totally won. &amp; we fight on twitter cause its a way of making a virtual scene. *Throws virtual glass of wine at your face and walks out* 
1,Oi!twittes!!! 
0,just watched jay's last show  Bring on conan!
0,7yr old son now better at putting together lego models than I am 
1,@lorrainewalker1 Lorraine want to say thanks for keeping us up to date  Nice having u as a friend 
1,"It was a beautiful day! Not 2 hot. Relaxed, then 2 a cookout w/ Cub Scouts...they R so much fun (the Cubs &amp; the cookouts) "
1,being hella brit by drinking tea with milk 
0,@itsBUFFIE wtf u doing up this early &amp;&amp; iWanna Work out 
0,"@heatheralyse     Don't worry GG, things always looker bleaker in the middle of the night. luv 'ya!!  GM!!"
0,My brother must hate me. He didn't answer his phone  and he didn't call me back. Either that or he's sleeping or at work. ;)
0,playing scrabble and I suk at it 
1,"I feel my stomach rumbling, I think it's the time for me to please my stomach. "
